iter	RMSE
218	28142.3005
219	28097.19864
220	28057.17068
221	28006.92849
222	27972.84628
223	27940.32831
224	27893.28928
225	27854.67666
226	27804.86287
227	27780.30766
228	27756.19568
229	27708.79795
230	27684.93364
231	27622.28749
232	27577.79472
233	27555.40165
234	27527.87559
235	27494.54551
236	27462.08024
237	27401.37296
238	27367.94033
239	27311.29264
240	27281.60589
241	27246.55458
242	27204.10861
243	27167.73155
244	27142.86721
245	27120.35903
246	27089.54449
247	27045.05472
248	27024.08378
249	26989.32661
250	26960.14488
251	26928.14093
252	26898.38755
253	26878.26417
254	26841.16813
255	26824.61389
256	26797.47678
257	26755.80697
258	26726.35858
259	26697.58373
260	26660.21326
261	26635.33029
262	26608.65464
263	26568.75715
264	26534.85395
265	26499.90704
266	26473.19888
267	26403.46706
268	26383.0664
269	26322.85868
270	26294.12246
271	26259.53441
272	26232.43408
273	26182.47007
274	26160.50596
275	26137.18807
276	26097.50543
277	26076.93078
278	26054.86475
279	26023.17778
280	26000.08492
281	25982.68706
282	25947.39842
283	25926.2451
284	25899.27187
285	25837.83808
286	25808.85
287	25785.20759
288	25755.68045
289	25733.44227
290	25693.22597
291	25660.15906
292	25632.35335
293	25607.18167
294	25579.80864
295	25546.39447
296	25527.06613
297	25503.78373
298	25474.68511
299	25452.2775
300	25437.36916
301	25407.13879
302	25358.44
303	25337.42437
304	25321.3234
305	25295.14359
306	25273.50711
307	25246.67448
308	25216.35861
309	25171.32667
310	25138.28911
311	25110.94124
312	25075.70627
313	25047.68746
314	25028.20783
315	25008.31375
316	24984.15183
317	24952.87086
318	24932.70838
319	24913.75472
320	24874.78796
321	24845.69335
322	24806.79023
323	24769.65574
324	24735.74723
325	24708.28492
326	24688.2104
327	24633.04522
328	24598.67816
329	24575.27621
330	24549.59823
331	24527.45108
332	24506.66596
333	24484.26053
334	24456.13528
335	24424.08277
336	24403.43088
337	24372.32726
338	24344.66715
339	24317.39454
340	24276.10761
341	24247.62738
342	24235.53157
343	24213.96566
344	24192.16898
345	24175.93968
346	24150.78162
347	24136.30675
348	24097.5153
349	24067.53315
350	24052.34425
351	24027.51167
352	24004.76627
353	23977.48639
354	23960.23738
355	23928.61244
356	23900.38939
357	23884.48019
358	23852.03444
359	23818.85766
360	23792.64155
361	23771.0814
362	23750.02093
363	23720.36782
364	23698.31734
365	23685.4695
366	23665.01694
367	23643.19278
368	23601.12656
369	23580.83057
370	23568.34517
371	23539.69588
372	23515.30432
373	23491.8984
374	23465.62472
375	23455.25309
376	23437.73191
377	23415.27549
378	23398.47661
379	23372.75628
380	23343.83857
381	23326.48537
382	23308.71493
383	23290.29874
384	23257.36654
385	23236.89168
386	23212.02372
387	23193.85819
388	23161.54453
389	23150.60062
390	23120.28547
391	23100.62739
392	23068.18511
393	23052.12741
394	23021.75048
395	23011.34629
396	22988.89773
397	22968.07251
398	22938.61739
399	22914.58811
400	22895.99331
401	22875.91685
402	22855.46424
403	22836.70429
404	22811.80556
405	22790.58752
406	22776.7697
407	22742.60332
408	22718.6964
409	22705.15421
410	22688.05922
411	22673.75913
412	22645.567
413	22615.99055
414	22586.11123
415	22575.68342
416	22561.23225
417	22545.87456
418	22528.4856
419	22517.6029
420	22503.08675
421	22472.97174
422	22448.07197
423	22429.60409
424	22402.07552
425	22380.28037
426	22355.47323
427	22333.28815
428	22308.59853
429	22295.8227
430	22280.96611
431	22267.40708
432	22250.1397
433	22235.37711
434	22222.01619
435	22204.57501
436	22179.11733
437	22153.82474
438	22131.92323
439	22103.67634
440	22094.95154
441	22065.40397
442	22006.74042
443	21991.62215
444	21978.68808
445	21955.86906
446	21941.27985
447	21915.49738
448	21897.67899
449	21884.13973
450	21866.23862
451	21840.3505
452	21814.73262
453	21806.5637
454	21771.23391
455	21761.73345
456	21753.69395
457	21725.98245
458	21708.48974
459	21686.74168
460	21660.0057
461	21646.74208
462	21622.93676
463	21603.5409
464	21577.14699
465	21554.29073
466	21534.51376
467	21518.26147
468	21509.00977
469	21507.04729
470	21488.72526
471	21470.12458
472	21459.64334
473	21440.81001
474	21412.82946
475	21382.33796
476	21368.1091
477	21366.23575
478	21343.5739
479	21334.49619
480	21315.36831
481	21300.04934
482	21287.03324
483	21267.60193
484	21235.34527
485	21221.79003
486	21188.20532
487	21169.56538
488	21148.078
489	21132.77861
490	21128.70526
491	21115.11238
492	21100.00223
493	21080.40716
494	21064.65268
495	21041.76509
496	21039.99799
497	21010.8352
498	20985.58302
499	20969.33262
500	20955.60864
501	20939.87389
502	20917.88192
503	20896.58696
504	20878.74219
505	20868.0223
506	20853.23402
507	20835.60888
508	20818.43753
509	20804.71974
510	20785.58345
511	20771.69513
512	20735.38252
513	20702.05031
514	20681.05336
515	20671.41335
516	20653.94413
517	20637.23061
518	20620.23041
519	20607.05646
520	20590.68091
521	20567.1452
522	20543.24995
523	20525.2764
524	20509.41676
525	20498.96568
526	20485.36763
527	20473.18831
528	20452.02561
529	20437.48349
530	20427.45225
531	20405.84466
532	20388.6566
533	20377.30572
534	20366.39923
535	20344.71033
536	20330.03593
537	20311.98437
538	20298.30622
539	20281.51795
540	20271.64316
541	20254.71973
542	20235.68757
543	20218.55757
544	20201.7513
545	20187.29438
546	20177.21481
547	20156.51946
548	20141.19661
549	20128.50051
550	20127.20063
551	20116.30703
552	20099.47043
553	20083.96405
554	20071.95695
555	20042.71116
556	20027.50247
557	20006.68682
558	19992.53999
559	19972.5299
560	19960.98091
561	19945.86419
562	19934.93665
563	19920.81177
564	19909.0448
565	19887.02663
566	19867.18981
567	19839.72553
568	19826.92433
569	19806.34246
570	19787.71056
571	19773.21878
572	19761.90657
573	19734.98865
574	19725.84258
575	19714.16914
576	19700.34083
577	19684.78461
578	19671.81263
579	19654.03206
580	19621.74003
581	19609.48753
582	19594.30873
583	19574.75856
584	19566.49942
585	19538.4911
586	19508.61699
587	19492.02275
588	19474.69847
589	19458.17739
590	19450.53043
591	19431.83235
592	19430.84724
593	19401.69952
594	19398.36177
595	19381.49634
596	19366.13895
597	19350.2387
598	19339.27224
599	19332.05643
600	19309.54097
601	19289.30961
602	19287.85429
603	19270.53383
604	19260.16971
605	19259.32624
606	19258.26537
607	19241.20612
608	19231.55406
609	19225.63975
610	19210.38463
611	19175.70342
612	19153.02712
613	19137.00613
614	19126.04095
615	19102.95316
616	19084.92315
617	19057.76707
618	19041.35364
619	19027.7392
620	19013.03544
621	19000.09807
622	18991.11114
623	18974.61708
624	18956.58809
625	18930.50835
626	18912.51411
627	18911.68649
628	18893.58633
629	18871.33468
630	18856.14838
631	18846.62844
632	18829.54275
633	18820.41644
634	18796.99823
635	18782.4984
636	18768.16806
637	18751.08723
638	18732.80776
639	18715.16256
640	18700.19052
641	18689.00747
642	18671.81699
643	18660.43355
644	18649.67442
645	18632.21653
646	18622.57695
647	18607.65727
648	18577.62613
649	18559.55761
650	18541.33661
651	18533.73179
652	18517.79767
653	18508.228
654	18500.40174
655	18483.86543
656	18472.39155
657	18464.8406
658	18448.73009
659	18437.53977
660	18427.98728
661	18416.84521
662	18401.31658
663	18387.63063
664	18377.79935
665	18367.31304
666	18360.11736
667	18342.8225
668	18321.80073
669	18303.69663
670	18302.71012
671	18292.86866
672	18281.9465
673	18280.99873
674	18280.28948
675	18268.96391
676	18260.36416
677	18246.7246
678	18231.10862
679	18205.20086
680	18204.49069
681	18197.51949
682	18186.35683
683	18172.40422
684	18162.4928
685	18147.61762
686	18136.74937
687	18125.93944
688	18110.84277
689	18096.31811
690	18081.22036
691	18066.54045
692	18046.90895
693	18030.83977
694	18018.19905
695	18002.94516
696	17986.33591
697	17961.90705
698	17948.9605
699	17928.86575
700	17911.51698
701	17899.80875
702	17879.45761
703	17866.5843
704	17847.63812
705	17836.03307
706	17815.21605
707	17794.51881
708	17770.50606
709	17769.86004
710	17756.24496
711	17743.73296
712	17717.79187
713	17702.90905
714	17691.61475
715	17685.26438
716	17674.02638
717	17665.61988
718	17649.76182
719	17636.8717
720	17624.61933
721	17613.16716
722	17603.8045
723	17596.49946
724	17581.48412
725	17563.65563
726	17554.16632
727	17529.61938
728	17516.22623
729	17498.19811
730	17486.10624
731	17473.31187
732	17459.67594
733	17456.38572
734	17446.29818
735	17430.76694
736	17409.69401
737	17393.30904
738	17386.15877
739	17385.62476
740	17379.37814
741	17363.15183
742	17342.95115
743	17325.34554
744	17312.85534
745	17299.93249
746	17287.12038
747	17285.27677
748	17267.97435
749	17252.80974
750	17245.46701
751	17233.16243
752	17222.90895
753	17200.35508
754	17187.48854
755	17176.27451
756	17158.20462
757	17141.03796
758	17121.82358
759	17110.91312
760	17103.03183
761	17084.11982
762	17068.60491
763	17055.89997
764	17034.63981
765	17020.4761
766	17009.0449
767	16995.67199
768	16986.75959
769	16980.78543
770	16967.52805
771	16958.55872
772	16947.19784
773	16929.31053
774	16916.44309
775	16905.26563
776	16897.2744
777	16886.90591
778	16870.71955
779	16861.52337
780	16848.94951
781	16840.33198
782	16826.84824
783	16806.11984
784	16790.25715
785	16787.78472
786	16781.56859
787	16772.44816
788	16755.38671
789	16742.6927
790	16729.03072
791	16711.23883
792	16703.65948
793	16690.02518
794	16675.36008
795	16666.13187
796	16650.4307
797	16639.88982
798	16621.1536
799	16615.23566
800	16599.30275
801	16596.61081
802	16586.80148
803	16579.65924
804	16569.6591
805	16556.25353
806	16551.82939
807	16547.02554
808	16543.2309
809	16523.44735
810	16511.22741
811	16495.20874
812	16484.99206
813	16479.36985
814	16461.83649
815	16446.40168
816	16432.53062
817	16421.22195
818	16405.42498
819	16396.72339
820	16379.73718
821	16370.62394
822	16362.13723
823	16354.43469
824	16354.0406
825	16342.27986
826	16328.90706
827	16322.37971
828	16310.91959
829	16298.72049
830	16298.30758
831	16279.52908
832	16262.66905
833	16248.47526
834	16233.3255
835	16232.95148
836	16220.44993
837	16209.19639
838	16197.71445
839	16189.1254
840	16177.98336
841	16166.13765
842	16136.33249
843	16124.47137
844	16114.79474
845	16101.43076
846	16090.27463
847	16078.42755
848	16065.67324
849	16050.96747
850	16039.41153
851	16030.91686
852	16015.26712
853	15999.26145
854	15986.22341
855	15974.42165
856	15961.60986
857	15950.36613
858	15931.14073
859	15916.26009
860	15906.95786
861	15894.93909
862	15874.61607
863	15863.00656
864	15848.48113
865	15825.49415
866	15816.01252
867	15803.90245
868	15791.14395
869	15781.2874
870	15762.30211
871	15744.92444
872	15729.179
873	15720.75556
874	15705.7626
875	15688.3962
876	15675.05857
877	15668.3915
878	15657.75225
879	15644.58824
880	15633.79998
881	15625.89074
882	15611.77391
883	15604.29947
884	15593.29684
885	15578.61493
886	15567.74092
887	15556.28484
888	15550.58128
889	15539.52373
890	15527.9959
891	15523.78522
892	15515.40767
893	15508.69059
894	15495.27407
895	15485.20826
896	15475.24567
897	15462.41213
898	15449.68329
899	15439.32791
900	15422.1502
901	15410.60621
902	15399.42897
903	15384.09242
904	15376.37961
905	15361.67068
906	15349.2235
907	15327.15758
908	15312.85103
909	15297.77503
910	15286.19187
911	15272.73001
912	15265.48133
913	15251.6549
914	15240.84119
915	15232.31681
916	15216.97353
917	15206.10784
918	15195.91716
919	15178.06516
920	15169.34028
921	15153.36358
922	15144.16173
923	15134.53181
924	15122.4914
925	15115.03357
926	15102.74413
927	15093.60032
928	15085.19051
929	15073.20817
930	15057.48318
931	15046.11125
932	15033.89692
933	15025.40671
934	15016.87976
935	15010.06585
936	14997.88516
937	14990.21948
938	14975.92329
939	14964.19925
940	14953.41416
941	14940.91743
942	14929.43967
943	14922.05879
944	14912.75883
945	14903.10058
946	14889.54735
947	14874.10147
948	14862.36198
949	14855.10532
950	14844.78245
951	14829.62308
952	14819.62152
953	14809.80044
954	14802.06872
955	14791.28724
956	14784.64883
957	14779.37407
958	14764.66722
959	14754.24083
960	14745.82157
961	14741.69574
962	14729.48314
963	14724.86569
964	14713.49248
965	14700.81277
966	14681.10745
967	14677.01401
968	14674.65784
969	14665.65281
970	14657.18948
971	14647.14789
972	14643.71086
973	14632.88137
974	14626.82195
975	14613.67675
976	14603.07202
977	14587.82487
978	14573.2756
979	14560.53962
980	14552.19221
981	14542.70332
982	14533.55016
983	14527.82968
984	14518.29363
985	14515.03742
986	14509.97326
987	14499.30219
988	14496.34735
989	14484.87447
990	14482.86885
991	14471.25872
992	14461.44331
993	14451.74368
994	14442.60324
995	14442.37312
996	14433.83304
997	14418.35618
998	14408.06094
999	14398.05537
